%time,field.control_vel,field.desired_vel,field.control_pitch,field.desired_pitch,field.control_yaw,field.desired_yaw
1492810671178222360,1,0.231685325503,1,0.0,0,0.0
1492810671278073246,1,0.240009397268,1,0.0,0,0.0
1492810671378006184,1,0.248245507479,1,0.0,0,0.0
1492810671478021368,1,0.256381213665,1,0.0,0,0.0
1492810671578054175,1,0.264419525862,1,0.0,0,0.0
1492810671678014699,1,0.27234607935,1,0.0,0,0.0
1492810671777997170,1,0.280156910419,1,0.0,0,0.0
1492810671877990304,1,0.287859767675,1,0.0,0,0.0
1492810671977967545,1,0.295427620411,1,0.0,0,0.0
1492810672077981927,1,0.302882224321,1,0.0,0,0.0
1492810672178722219,1,0.310219198465,1,0.0,0,0.0
1492810672278056593,1,0.317388832569,1,0.0,0,0.0
1492810672378078543,1,0.32444024086,1,0.0,0,0.0
1492810672478073855,1,0.331333339214,1,0.0,0,0.0
1492810672577990125,1,0.338086128235,1,0.0,0,0.0
1492810672678040952,1,0.34469050169,1,0.0,0,0.0
1492810672777988848,1,0.351139307022,1,0.0,0,0.0
1492810672878075658,1,0.357425630093,1,0.0,0,0.0
1492810672977993222,1,0.363539844751,1,0.0,0,0.0
1492810673077964784,1,0.369488328695,1,0.0,0,0.0
1492810673178032893,1,0.375260621309,1,0.0,0,0.0
1492810673278023353,1,0.380858242512,1,0.0,0,0.0
1492810673377994037,1,0.386272281408,1,0.0,0,0.0
1492810673477947627,1,0.391493201256,1,0.0,0,0.0
1492810673578015874,1,0.396527379751,1,0.0,0,0.0
1492810673677993364,1,0.401359379292,1,0.0,0,0.0
1492810673777981214,1,0.405993252993,1,0.0,0,0.0
1492810673878051212,1,0.410422474146,1,0.0,0,0.0
1492810673978353912,1,0.41464561224,1,0.0,0,0.0
1492810674077953132,1,0.418645530939,1,0.0,0,0.0
1492810674177935449,1,0.422429323196,1,0.0,0,0.0
1492810674277956556,1,0.42599272728,1,0.0,0,0.0
1492810674378015899,1,0.429327756166,1,0.0,0,0.0
1492810674477906491,1,0.432428002357,1,0.0,0,0.0
1492810674578006926,1,0.435296326876,1,0.0,0,0.0
1492810674678025447,1,0.437923252583,1,0.0,0,0.0
