# Time	x	y	z	roll	pitch	yaw	vx	vy	vz	
5.5635187	0.6292018	0.7756888	-0.4011543	-0.1831818	-0.3106318	2.6459529	-0.0018281	-0.3181916	-0.0763488
5.6635397	0.6449120	0.8025505	-0.4105777	-0.1824885	-0.3011795	2.6442112	-0.0058912	-0.3241203	-0.0757300
5.7635597	0.6606801	0.8315691	-0.4075144	-0.1842092	-0.2927853	2.6439260	-0.0003560	-0.3297596	-0.0656857
5.8635320	0.6770398	0.8645026	-0.4103364	-0.1872200	-0.2859623	2.6460050	0.0139303	-0.3295038	-0.0679829
5.9635359	0.6906656	0.8911618	-0.4072631	-0.1909767	-0.2791722	2.6490118	0.0262956	-0.3281720	-0.0703913
6.0635604	0.7056370	0.9212866	-0.4031348	-0.1952978	-0.2766632	2.6519456	0.0289191	-0.3253059	-0.0719363
6.1635464	0.7216532	0.9523481	-0.3991127	-0.1986248	-0.2790585	2.6530940	0.0190138	-0.3233600	-0.0740174
6.2636754	0.7338056	0.9804880	-0.4023888	-0.2009951	-0.2871731	2.6523647	0.0027406	-0.3222248	-0.0786929
6.3635310	0.7519343	1.0099276	-0.3965053	-0.2007499	-0.2974024	2.6507492	-0.0069530	-0.3248554	-0.0756426
6.4635366	0.7681860	1.0400338	-0.3991127	-0.1987416	-0.3055004	2.6492880	-0.0083289	-0.3257176	-0.0880372
6.5635377	0.7832814	1.0685065	-0.4019578	-0.1956206	-0.3111757	2.6482527	-0.0074543	-0.3233846	-0.1031260
6.6637033	0.7991731	1.0989385	-0.4063202	-0.1921325	-0.3132437	2.6467835	-0.0082079	-0.3244635	-0.1059657
6.7635397	0.8147710	1.1297201	-0.4083727	-0.1890359	-0.3126505	2.6443570	-0.0084437	-0.3295702	-0.0969461
6.8635387	0.8291374	1.1589118	-0.4069944	-0.1864040	-0.3108141	2.6409042	-0.0114474	-0.3329276	-0.0926975
6.9635968	0.8435737	1.1888393	-0.3994255	-0.1843964	-0.3093873	2.6368911	-0.0192174	-0.3360288	-0.0836618
7.0636058	0.8623496	1.2189065	-0.4022417	-0.1841373	-0.3082580	2.6333506	-0.0264157	-0.3416446	-0.0690046
7.1635436	0.8797791	1.2465518	-0.3990401	-0.1862869	-0.3066136	2.6316017	-0.0197045	-0.3422378	-0.0542538
7.2635415	0.8986846	1.2765644	-0.4011304	-0.1902165	-0.3037426	2.6318271	-0.0109780	-0.3353247	-0.0612482
7.3637220	0.9160176	1.3059797	-0.4001883	-0.1945245	-0.3004391	2.6333704	-0.0053111	-0.3268843	-0.0702244
7.4636572	0.9323965	1.3336333	-0.3963136	-0.1974849	-0.2970598	2.6350110	-0.0065547	-0.3218502	-0.0723735
7.5635287	0.9511281	1.3676746	-0.4021739	-0.1979685	-0.2956343	2.6365158	-0.0137977	-0.3184299	-0.0905401
7.6635220	0.9658917	1.3917890	-0.4036718	-0.1954917	-0.2976552	2.6368732	-0.0252078	-0.3205615	-0.1043210
7.7637504	0.9838334	1.4191121	-0.4057734	-0.1914750	-0.3030605	2.6359144	-0.0418377	-0.3274960	-0.1010498
7.8636316	1.0072927	1.4518524	-0.4103364	-0.1871690	-0.3084153	2.6323353	-0.0595285	-0.3357539	-0.0857823
7.9636613	1.0240654	1.4745849	-0.4035629	-0.1824364	-0.3151842	2.6273674	-0.0660122	-0.3411922	-0.0711696
8.0635638	1.0476253	1.5028103	-0.4069356	-0.1794083	-0.3172137	2.6209170	-0.0643562	-0.3522571	-0.0568283
8.1637220	1.0729377	1.5339769	-0.4082963	-0.1796448	-0.3145267	2.6152117	-0.0464574	-0.3619285	-0.0443395
8.2637189	1.0927844	1.5603344	-0.4080563	-0.1823039	-0.3056401	2.6135601	-0.0263519	-0.3626574	-0.0404431
8.3635835	1.1125044	1.5897272	-0.4008029	-0.1876001	-0.2913859	2.6147118	-0.0022364	-0.3590148	-0.0290910
8.4635689	1.1291157	1.6250042	-0.4072759	-0.1940800	-0.2739762	2.6179982	0.0142841	-0.3481086	-0.0342613
8.5637381	1.1449198	1.6523317	-0.4036831	-0.1986426	-0.2537194	2.6207964	0.0168752	-0.3339217	-0.0411690
8.6635610	1.1652971	1.6801884	-0.3983547	-0.2014004	-0.2444435	2.6221814	0.0096868	-0.3214641	-0.0543872
8.7635244	1.1817801	1.7092583	-0.3980923	-0.2013083	-0.2482369	2.6219511	-0.0062286	-0.3152783	-0.0701529
8.8637064	1.1928752	1.7374233	-0.4025676	-0.1994471	-0.2664182	2.6212462	-0.0230478	-0.3147127	-0.0790639
8.9635776	1.2188135	1.7621943	-0.3980859	-0.1959350	-0.2927564	2.6211127	-0.0279666	-0.3204076	-0.0815079
9.0637437	1.2360661	1.7910131	-0.4042147	-0.1910592	-0.3185118	2.6219557	-0.0237255	-0.3228546	-0.1016584
9.1635702	1.2507920	1.8203633	-0.4062292	-0.1875901	-0.3374257	2.6227547	-0.0130968	-0.3300588	-0.1046324
9.2635999	1.2606396	1.8533587	-0.4039258	-0.1851883	-0.3416404	2.6228050	-0.0071007	-0.3339429	-0.0965414
9.3635768	1.2737509	1.8841427	-0.4042147	-0.1843793	-0.3336861	2.6204956	-0.0150300	-0.3376537	-0.0851110
9.4636736	1.2913393	1.9141639	-0.4057597	-0.1846467	-0.3192810	2.6165574	-0.0249773	-0.3412546	-0.0780256
9.5636096	1.3114573	1.9436025	-0.4084691	-0.1852891	-0.3060079	2.6126845	-0.0277057	-0.3389713	-0.0779639
9.6635346	1.3264998	1.9714436	-0.4021846	-0.1868795	-0.2949618	2.6109100	-0.0155310	-0.3372318	-0.0656664
9.7635382	1.3446786	2.0006311	-0.4012894	-0.1891133	-0.2838957	2.6116454	0.0055656	-0.3313930	-0.0707759
9.8635584	1.3610238	2.0306534	-0.4014946	-0.1911034	-0.2751212	2.6132103	0.0158617	-0.3267981	-0.0737983
9.9635940	1.3779587	2.0601068	-0.4001396	-0.1921843	-0.2708897	2.6141983	0.0184361	-0.3261806	-0.0699520
10.0635592	1.4029037	2.0830138	-0.3909939	-0.1916865	-0.2753565	2.6140446	0.0094005	-0.3271213	-0.0695831
10.1635348	1.4189474	2.1188498	-0.3960522	-0.1891081	-0.2875749	2.6128041	-0.0114880	-0.3274286	-0.0749680
10.2635354	1.4338046	2.1444054	-0.4003597	-0.1892732	-0.3105260	2.6120162	-0.0226487	-0.3287033	-0.0778536
10.3635318	1.4497836	2.1719977	-0.3966230	-0.1889327	-0.3303603	2.6116679	-0.0258748	-0.3328377	-0.0716333
10.4635395	1.4737558	2.2038472	-0.4001323	-0.1892061	-0.3416164	2.6122103	-0.0197776	-0.3376118	-0.0678176
10.5635400	1.4956497	2.2265372	-0.4043891	-0.1905078	-0.3455622	2.6130039	-0.0138048	-0.3353740	-0.0718633
10.6635738	1.5097503	2.2562559	-0.4034789	-0.1910834	-0.3411032	2.6142369	-0.0050701	-0.3295129	-0.0709446
10.7636137	1.5303634	2.2872588	-0.4062563	-0.1913619	-0.3337283	2.6153081	-0.0035354	-0.3190737	-0.0794520
10.8635359	1.5353755	2.3189682	-0.3972231	-0.1907491	-0.3230131	2.6154114	-0.0013154	-0.3155065	-0.0705221
10.9635195	1.5504325	2.3462081	-0.3975918	-0.1905777	-0.3157264	2.6143933	-0.0037652	-0.3127503	-0.0742278
11.0635620	1.5680732	2.3769951	-0.3980923	-0.1902372	-0.3139159	2.6119519	-0.0095938	-0.3177597	-0.0783360
11.1635645	1.5840665	2.4035600	-0.4025972	-0.1893761	-0.3167266	2.6096545	-0.0089569	-0.3235001	-0.0813897
11.2635551	1.6008733	2.4327147	-0.3984470	-0.1891249	-0.3223629	2.6077013	-0.0042724	-0.3326123	-0.0675559
11.3635604	1.6198819	2.4622262	-0.4031943	-0.1893870	-0.3282479	2.6065724	-0.0006008	-0.3348513	-0.0644819
11.4635387	1.6339367	2.4913869	-0.3990816	-0.1902659	-0.3311393	2.6058104	0.0019045	-0.3293631	-0.0626568
11.5635658	1.6518289	2.5187450	-0.4013471	-0.1906438	-0.3283243	2.6047571	-0.0038862	-0.3291369	-0.0683122
11.6635379	1.6675402	2.5499972	-0.3980923	-0.1906891	-0.3211436	2.6035215	-0.0057099	-0.3297247	-0.0763822
11.7635781	1.6842011	2.5787805	-0.3965610	-0.1900880	-0.3111823	2.6024746	-0.0056614	-0.3274173	-0.0842211
11.8635254	1.7015515	2.6084523	-0.4015124	-0.1895949	-0.3026718	2.6018407	-0.0082920	-0.3278940	-0.0899700
11.9635436	1.7167133	2.6380406	-0.4082963	-0.1890545	-0.2974624	2.6016926	-0.0103068	-0.3279892	-0.0982794
12.0637309	1.7413850	2.6624233	-0.4040803	-0.1887390	-0.2946817	2.6019124	-0.0149728	-0.3329700	-0.0936335
12.1635663	1.7637602	2.6891508	-0.4028536	-0.1887424	-0.2929676	2.6018971	-0.0165249	-0.3310733	-0.0922692
12.2636465	1.7892823	2.7108476	-0.3971426	-0.1889286	-0.2926713	2.6013906	-0.0164296	-0.3276647	-0.0875514
12.3635069	1.8023050	2.7439834	-0.4062110	-0.1891069	-0.2932679	2.6000021	-0.0196352	-0.3267384	-0.0908988
12.4635628	1.8289407	2.7665272	-0.3995417	-0.1887623	-0.2959315	2.5978786	-0.0160921	-0.3253909	-0.0854531
12.5635919	1.8490432	2.7935961	-0.3994249	-0.1876980	-0.3008501	2.5958141	-0.0094755	-0.3216374	-0.0908607
12.6635968	1.8623625	2.8249142	-0.4106472	-0.1862173	-0.3075025	2.5945999	-0.0012968	-0.3217731	-0.1053046
12.7635336	1.8812986	2.8560723	-0.4031943	-0.1844498	-0.3139669	2.5945568	0.0119589	-0.3276931	-0.1017593
12.8635195	1.8913776	2.8812344	-0.3973685	-0.1842103	-0.3217810	2.5952065	0.0148181	-0.3320953	-0.0920449
12.9636378	1.9096219	2.9104962	-0.4029634	-0.1841838	-0.3258871	2.5960896	0.0045874	-0.3353909	-0.0876526
13.0635448	1.9270002	2.9443818	-0.4021739	-0.1847914	-0.3268725	2.5961740	-0.0121813	-0.3350275	-0.0762471
13.1636823	1.9421479	2.9704389	-0.4013439	-0.1860949	-0.3245766	2.5954377	-0.0275174	-0.3316208	-0.0656798
13.2637284	1.9632979	2.9962460	-0.4046185	-0.1877761	-0.3184062	2.5936848	-0.0382782	-0.3319912	-0.0607869
13.3638177	1.9859000	3.0260337	-0.4042147	-0.1901665	-0.3097538	2.5909805	-0.0385485	-0.3305708	-0.0539106
13.4636152	2.0065180	3.0497256	-0.3980007	-0.1918357	-0.2979100	2.5887034	-0.0317487	-0.3227001	-0.0471046
13.5635379	2.0251422	3.0746994	-0.3978941	-0.1932665	-0.2889515	2.5864016	-0.0244995	-0.3147801	-0.0490114
13.6635720	2.0384867	3.1048960	-0.4031943	-0.1937959	-0.2858848	2.5848460	-0.0171205	-0.3088616	-0.0585655
13.7635397	2.0567657	3.1292623	-0.4034152	-0.1932050	-0.2888265	2.5839901	-0.0219277	-0.3111375	-0.0670382
13.8635643	2.0823123	3.1513177	-0.3998998	-0.1917947	-0.2977353	2.5827434	-0.0411741	-0.3176328	-0.0719127
13.9635843	2.1090892	3.1755918	-0.3970719	-0.1892451	-0.3098710	2.5803779	-0.0618172	-0.3214307	-0.0747843
14.0635377	2.1310417	3.2000927	-0.3968738	-0.1863847	-0.3210669	2.5773237	-0.0765845	-0.3255256	-0.0740267
14.1635620	2.1583239	3.2235018	-0.4082047	-0.1838116	-0.3261292	2.5742587	-0.0854627	-0.3246871	-0.0766348
14.2635699	2.1758961	3.2492535	-0.4052343	-0.1825589	-0.3240472	2.5721246	-0.0829523	-0.3216239	-0.0673245
14.3635850	2.2000660	3.2729814	-0.4080274	-0.1826719	-0.3152716	2.5707833	-0.0837556	-0.3251809	-0.0615640
14.4636652	2.2188456	3.2955700	-0.4030177	-0.1836597	-0.3020375	2.5695772	-0.0828567	-0.3282169	-0.0514253
14.5635763	2.2446729	3.3173280	-0.3991247	-0.1849189	-0.2879379	2.5680882	-0.0863400	-0.3363268	-0.0422766
