# Time	x	y	z	roll	pitch	yaw	vx	vy	vz	
2.3687363	0.1390187	-0.0355665	-0.3205011	-0.1747321	-0.2513542	2.1530689	0.0465572	-0.0846209	-0.0230161
2.4687491	0.1460621	-0.0267838	-0.3272396	-0.1813621	-0.2354768	2.1459855	0.0607119	-0.0892905	-0.0177452
2.5687631	0.1511142	-0.0151291	-0.3221816	-0.1904325	-0.2109307	2.1351452	0.0590359	-0.0966909	-0.0060865
2.6687780	0.1557475	-0.0075549	-0.3190787	-0.1944876	-0.1964093	2.1254236	0.0465135	-0.0988320	-0.0106851
2.7688356	0.1622511	0.0013289	-0.3193570	-0.1956739	-0.1855150	2.1116155	0.0318369	-0.0992039	-0.0273463
2.8689603	0.1700619	0.0114046	-0.3239963	-0.1919662	-0.1829597	2.0952339	0.0225929	-0.0993638	-0.0462903
2.9689449	0.1781998	0.0157158	-0.3189644	-0.1880552	-0.1855678	2.0854097	0.0268335	-0.1026210	-0.0427467
3.0687375	0.1858910	0.0250456	-0.3223191	-0.1835254	-0.1920616	2.0749750	0.0376192	-0.1082793	-0.0407191
3.1687473	0.1954958	0.0356731	-0.3216086	-0.1799906	-0.2020496	2.0631368	0.0474648	-0.1153570	-0.0318666
3.2688156	0.2023086	0.0446113	-0.3254843	-0.1794485	-0.2090033	2.0541706	0.0435480	-0.1184275	-0.0228797
3.3686950	0.2128929	0.0547080	-0.3215617	-0.1794924	-0.2181822	2.0394618	0.0329903	-0.1209391	-0.0035790
3.4689467	0.2209981	0.0610347	-0.3202751	-0.1865033	-0.2274313	2.0293645	0.0253358	-0.1198962	0.0033089
3.5687406	0.2327871	0.0685877	-0.3202652	-0.1948867	-0.2334515	2.0164890	0.0204460	-0.1158467	-0.0030307
3.6689252	0.2421882	0.0744298	-0.3215617	-0.1995622	-0.2343408	2.0083426	0.0207555	-0.1085986	-0.0233346
3.7689418	0.2496081	0.0814630	-0.3165902	-0.2018012	-0.2298214	2.0019510	0.0207085	-0.1009853	-0.0389038
3.8688586	0.2598765	0.0903672	-0.3128208	-0.1972529	-0.2292046	1.9910952	0.0124599	-0.0984300	-0.0568341
3.9687107	0.2689592	0.0961449	-0.3144196	-0.1905095	-0.2321456	1.9797249	-0.0031505	-0.1037868	-0.0669284
4.0687580	0.2785611	0.1005764	-0.3181416	-0.1828377	-0.2403549	1.9664979	-0.0134233	-0.1162643	-0.0644164
4.1687716	0.2934866	0.1061877	-0.3235044	-0.1761658	-0.2448046	1.9480954	-0.0099075	-0.1359605	-0.0540799
4.2687580	0.3063696	0.1113258	-0.3266637	-0.1754994	-0.2422272	1.9360899	0.0014199	-0.1470587	-0.0474292
4.3688123	0.3172882	0.1176761	-0.3227053	-0.1763339	-0.2310218	1.9263790	0.0165691	-0.1535690	-0.0381768
4.4688763	0.3360079	0.1274542	-0.3323452	-0.1811688	-0.2098056	1.9155188	0.0306664	-0.1587225	-0.0444013
4.5687803	0.3485676	0.1331977	-0.3215617	-0.1863986	-0.1960336	1.9074768	0.0350816	-0.1672328	-0.0356573
4.6687432	0.3632156	0.1414087	-0.3204333	-0.1909510	-0.1832728	1.8991443	0.0354385	-0.1751591	-0.0350105
4.7688558	0.3832447	0.1502754	-0.3160574	-0.1967373	-0.1828529	1.8900418	0.0360963	-0.1794002	-0.0371727
4.8687549	0.3962135	0.1595062	-0.3184996	-0.1984365	-0.1889583	1.8856973	0.0369053	-0.1767592	-0.0456540
4.9689288	0.4108780	0.1689524	-0.3207350	-0.1990932	-0.2005160	1.8824502	0.0355620	-0.1705371	-0.0511505
5.0688289	0.4295706	0.1782014	-0.3199490	-0.1961944	-0.2162266	1.8774861	0.0225358	-0.1660511	-0.0439322
5.1687293	0.4450822	0.1853353	-0.3267137	-0.1934104	-0.2314461	1.8694833	0.0014305	-0.1665312	-0.0353009
5.2690913	0.4575913	0.1897001	-0.3203775	-0.1921594	-0.2428245	1.8605692	-0.0147886	-0.1673097	-0.0215909
