%time,field.P_vel,field.I_vel,field.D_vel,field.P_pitch,field.I_pitch,field.D_pitch,field.P_yaw,field.I_yaw,field.D_yaw
1492810511355567303,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810511455567747,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810511555687538,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810511655677734,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810511755670293,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810511855711186,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810511955759899,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810512055570063,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810512155580709,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810512255852938,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810512355568181,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810512455648543,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810512555673250,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810512655667454,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810512755637618,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810512855717393,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810512955718485,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810513055732924,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810513155587683,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810513255646705,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810513355638859,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810513455745191,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810513555857754,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810513655588170,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810513755637195,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810513855595858,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810513955603374,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810514055701699,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810514155708018,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810514255611010,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810514355920398,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810514455696267,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810514555750977,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810514655631671,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810514755649631,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810514855737210,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810514955868532,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810515055714707,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810515156075245,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810515255644608,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810515355864418,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810515455640634,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810515555761372,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810515655615065,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810515755875486,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810515855649563,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810515955610641,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810516055637154,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810516155758898,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810516255676547,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810516355657124,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810516455644734,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810516555694078,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810516655567190,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810516755757818,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810516855662955,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810516955721479,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810517055628365,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810517155609377,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810517255574713,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810517355597993,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810517455556233,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810517555676724,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810517655600797,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810517755743793,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810517855585697,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810517955668188,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810518055638729,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810518155819506,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810518255799616,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810518355865781,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810518455680386,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810518555974226,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810518655760111,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810518755834057,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810518855843930,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810518955635129,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810519055845348,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810519155667247,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810519255830071,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810519355752489,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810519455821672,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810519556051949,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810519655666392,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810519755661047,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810519855739047,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
