# Time	x	y	z	roll	pitch	yaw	vx	vy	vz	
2.4105331	0.1724116	0.1288415	-0.3999696	-0.1980807	-0.2608593	2.5338661	-0.0328519	-0.1920063	0.0010124
2.5106074	0.1876151	0.1450021	-0.4082140	-0.2002083	-0.2655996	2.5289508	-0.0300701	-0.1884165	-0.0192263
2.6103716	0.2009775	0.1591476	-0.4072015	-0.1993907	-0.2683479	2.5244871	-0.0194498	-0.1877587	-0.0319184
2.7104361	0.2112456	0.1711722	-0.4022321	-0.1967813	-0.2712760	2.5216690	-0.0104219	-0.1903600	-0.0387739
2.8106063	0.2252968	0.1899241	-0.3982174	-0.1907155	-0.2817254	2.5203516	-0.0017744	-0.2001730	-0.0512911
2.9104474	0.2381353	0.2078630	-0.4009382	-0.1853326	-0.2962173	2.5219453	-0.0068570	-0.2185519	-0.0646989
3.0104773	0.2499185	0.2232411	-0.4047046	-0.1818503	-0.3086789	2.5239313	-0.0214644	-0.2355893	-0.0768135
3.1104067	0.2682400	0.2464174	-0.4058981	-0.1793671	-0.3210154	2.5259782	-0.0507438	-0.2598014	-0.0858048
3.2104676	0.2837557	0.2675149	-0.4010120	-0.1797651	-0.3206022	2.5250277	-0.0720264	-0.2737229	-0.0779672
3.3104051	0.3024943	0.2831952	-0.4078390	-0.1807667	-0.3129453	2.5223820	-0.0819110	-0.2768992	-0.0835564
3.4107246	0.3263727	0.3064701	-0.4090994	-0.1817031	-0.2910957	2.5165094	-0.0798636	-0.2792316	-0.0831960
3.5103882	0.3482385	0.3266920	-0.4109062	-0.1819486	-0.2706355	2.5131297	-0.0608110	-0.2820796	-0.0696844
3.6104335	0.3653832	0.3434704	-0.4122391	-0.1827060	-0.2581354	2.5128926	-0.0452154	-0.2887281	-0.0526350
3.7104110	0.3850007	0.3659575	-0.4164604	-0.1851624	-0.2514359	2.5153735	-0.0313942	-0.2970651	-0.0312972
3.8106115	0.4101046	0.3920027	-0.4126676	-0.1904988	-0.2572255	2.5193946	-0.0357148	-0.3066875	-0.0055986
3.9103803	0.4320837	0.4142968	-0.4104609	-0.1950866	-0.2682889	2.5211518	-0.0511420	-0.3098231	-0.0036117
4.0104356	0.4499083	0.4320427	-0.4122320	-0.1978342	-0.2769017	2.5208467	-0.0616548	-0.3078352	-0.0142965
4.1104282	0.4781632	0.4561019	-0.4003837	-0.1988348	-0.2838856	2.5178246	-0.0627628	-0.3014635	-0.0298658
4.2103910	0.5009176	0.4774089	-0.4011543	-0.1969452	-0.2866240	2.5145041	-0.0516785	-0.2941746	-0.0531115
4.3104100	0.5180623	0.4952788	-0.4012946	-0.1941737	-0.2885903	2.5122168	-0.0382216	-0.2971207	-0.0687196
4.4104635	0.5417534	0.5233618	-0.3993868	-0.1888884	-0.2910750	2.5104689	-0.0255004	-0.3126175	-0.0822514
4.5104195	0.5633138	0.5495371	-0.4043196	-0.1843502	-0.2942209	2.5103692	-0.0257190	-0.3298311	-0.0956941
4.6104399	0.5809331	0.5714649	-0.4045933	-0.1811995	-0.2973503	2.5104858	-0.0361233	-0.3498953	-0.0950165
4.7105613	0.6096190	0.6039198	-0.4072103	-0.1786272	-0.2988647	2.5098538	-0.0571658	-0.3732836	-0.0897210
4.8103846	0.6367962	0.6321518	-0.4084604	-0.1790150	-0.2941206	2.5077113	-0.0700623	-0.3842833	-0.0815670
4.9103987	0.6659939	0.6602279	-0.4111550	-0.1809096	-0.2837174	2.5038465	-0.0758393	-0.3878726	-0.0731310
5.0104274	0.6896320	0.6824450	-0.4131060	-0.1825275	-0.2726052	2.5000631	-0.0716168	-0.3840014	-0.0670924
5.1104346	0.7221896	0.7155007	-0.4206088	-0.1845037	-0.2571550	2.4950049	-0.0609456	-0.3778434	-0.0631411
5.2105147	0.7531448	0.7396343	-0.4120487	-0.1860835	-0.2492080	2.4930819	-0.0486764	-0.3767704	-0.0454333
5.3104602	0.7754996	0.7612380	-0.4093270	-0.1880861	-0.2475188	2.4936806	-0.0393155	-0.3780894	-0.0330816
5.4104502	0.8069106	0.7930632	-0.4048288	-0.1928809	-0.2498387	2.4969963	-0.0334794	-0.3830089	-0.0229436
5.5106040	0.8333323	0.8218999	-0.4029880	-0.1974250	-0.2556344	2.5002120	-0.0419340	-0.3872642	-0.0347439
5.6104269	0.8580104	0.8432216	-0.3962113	-0.1997218	-0.2633082	2.5016221	-0.0508713	-0.3878796	-0.0508523
