# Time	Velocity	Pitch	Yaw
2.4225592	0.2316853	0.0000000	0.0000000
2.5224102	0.2400094	0.0000000	0.0000000
2.6223432	0.2482455	0.0000000	0.0000000
2.7223583	0.2563812	0.0000000	0.0000000
2.8223910	0.2644195	0.0000000	0.0000000
2.9223516	0.2723461	0.0000000	0.0000000
3.0223340	0.2801569	0.0000000	0.0000000
3.1223273	0.2878598	0.0000000	0.0000000
3.2223045	0.2954276	0.0000000	0.0000000
3.3223188	0.3028822	0.0000000	0.0000000
3.4230592	0.3102192	0.0000000	0.0000000
3.5223936	0.3173888	0.0000000	0.0000000
3.6224154	0.3244402	0.0000000	0.0000000
3.7224108	0.3313333	0.0000000	0.0000000
3.8223270	0.3380861	0.0000000	0.0000000
3.9223777	0.3446905	0.0000000	0.0000000
4.0223258	0.3511393	0.0000000	0.0000000
4.1224125	0.3574256	0.0000000	0.0000000
4.2223301	0.3635398	0.0000000	0.0000000
4.3223017	0.3694883	0.0000000	0.0000000
4.4223698	0.3752606	0.0000000	0.0000000
4.5223603	0.3808582	0.0000000	0.0000000
4.6223309	0.3862723	0.0000000	0.0000000
4.7222845	0.3914932	0.0000000	0.0000000
4.8223529	0.3965274	0.0000000	0.0000000
4.9223304	0.4013594	0.0000000	0.0000000
5.0223181	0.4059933	0.0000000	0.0000000
5.1223882	0.4104225	0.0000000	0.0000000
5.2226908	0.4146456	0.0000000	0.0000000
5.3222899	0.4186455	0.0000000	0.0000000
5.4222723	0.4224293	0.0000000	0.0000000
5.5222935	0.4259927	0.0000000	0.0000000
5.6223529	0.4293278	0.0000000	0.0000000
5.7222433	0.4324280	0.0000000	0.0000000
5.8223439	0.4352963	0.0000000	0.0000000
5.9223624	0.4379233	0.0000000	0.0000000
6.0222815	0.4403004	0.0000000	0.0000000
6.1223608	0.4424319	0.0000000	0.0000000
6.2223831	0.4443082	0.0000000	0.0000000
6.3223831	0.4459254	0.0000000	0.0000000
6.4226460	0.4472796	0.0000000	0.0000000
6.5224453	0.4483661	0.0000000	0.0000000
6.6225710	0.4491813	0.0000000	0.0000000
6.7224338	0.4497192	0.0000000	0.0000000
6.8224084	0.4499766	0.0000000	0.0000000
6.9223158	0.4500000	0.0000000	0.0000000
7.0223982	0.4500000	0.0000000	0.0000000
7.1223744	0.4500000	0.0000000	0.0000000
7.2224466	0.4500000	0.0000000	0.0000000
7.3225500	0.4500000	0.0000000	0.0000000
7.4223854	0.4500000	0.0000000	0.0000000
7.5223598	0.4500000	0.0000000	0.0000000
7.6222968	0.4500000	0.0000000	0.0000000
7.7223795	0.4500000	0.0000000	0.0000000
7.8223114	0.4500000	0.0000000	0.0000000
7.9223196	0.4500000	0.0000000	0.0000000
8.0223665	0.4500000	0.0000000	0.0000000
8.1223859	0.4500000	0.0000000	0.0000000
8.2223795	0.4500000	0.0000000	0.0000000
8.3226196	0.4500000	0.0000000	0.0000000
8.4223455	0.4500000	0.0000000	0.0000000
8.5224092	0.4500000	0.0000000	0.0000000
8.6223811	0.4500000	0.0000000	0.0000000
8.7224404	0.4500000	0.0000000	0.0000000
8.8223091	0.4500000	0.0000000	0.0000000
8.9223923	0.4500000	0.0000000	0.0000000
9.0223675	0.4500000	0.0000000	0.0000000
9.1223770	0.4500000	0.0000000	0.0000000
9.2223869	0.4500000	0.0000000	0.0000000
9.3223895	0.4500000	0.0000000	0.0000000
9.4223158	0.4500000	0.0000000	0.0000000
9.5222740	0.4500000	0.0000000	0.0000000
9.6223974	0.4500000	0.0000000	0.0000000
9.7223967	0.4500000	0.0000000	0.0000000
9.8223268	0.4500000	0.0000000	0.0000000
9.9223913	0.4500000	0.0001056	0.0000000
10.0223247	0.4500000	0.0007475	0.0000000
10.1223140	0.4500000	0.0019505	0.0000000
