%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1492808517379020886,82115,1492808517380072956,/fluid_pressure,105819.992188,0.0
1492808517453153147,82116,1492808517454072956,/fluid_pressure,105819.992188,0.0
1492808517527465063,82117,1492808517529072956,/fluid_pressure,105850.0,0.0
1492808517601601383,82118,1492808517603072956,/fluid_pressure,105790.0,0.0
1492808517676755793,82119,1492808517677072956,/fluid_pressure,105810.0,0.0
1492808517749921189,82120,1492808517752072956,/fluid_pressure,105790.0,0.0
1492808517824654039,82121,1492808517826072956,/fluid_pressure,105800.0,0.0
1492808517899696813,82122,1492808517900072956,/fluid_pressure,105800.0,0.0
1492808517973246197,82123,1492808517974072956,/fluid_pressure,105760.0,0.0
1492808518047284391,82124,1492808518049072956,/fluid_pressure,105750.0,0.0
1492808518121721978,82125,1492808518123072956,/fluid_pressure,105730.007812,0.0
1492808518195937463,82126,1492808518197072956,/fluid_pressure,105710.0,0.0
1492808518270890804,82127,1492808518271072956,/fluid_pressure,105690.0,0.0
1492808518344890610,82128,1492808518346072956,/fluid_pressure,105640.0,0.0
1492808518418047262,82129,1492808518420072956,/fluid_pressure,105690.0,0.0
1492808518493426830,82130,1492808518494072956,/fluid_pressure,105669.992188,0.0
1492808518567568795,82131,1492808518568072956,/fluid_pressure,105710.0,0.0
1492808518641572455,82132,1492808518643072956,/fluid_pressure,105700.0,0.0
1492808518715611298,82133,1492808518717072956,/fluid_pressure,105719.992188,0.0
1492808518789915504,82134,1492808518791072956,/fluid_pressure,105680.007812,0.0
1492808518863941259,82135,1492808518866072956,/fluid_pressure,105680.007812,0.0
1492808518938439456,82136,1492808518940072956,/fluid_pressure,105700.0,0.0
1492808519013718199,82137,1492808519014072956,/fluid_pressure,105710.0,0.0
1492808519086887846,82138,1492808519088072956,/fluid_pressure,105790.0,0.0
1492808519160980512,82139,1492808519163630950,/fluid_pressure,105790.0,0.0
1492808519234938213,82140,1492808519237630950,/fluid_pressure,105780.007812,0.0
1492808519310655847,82141,1492808519311630950,/fluid_pressure,105750.0,0.0
1492808519384286690,82142,1492808519385630950,/fluid_pressure,105790.0,0.0
1492808519458591184,82143,1492808519460630950,/fluid_pressure,105800.0,0.0
1492808519533309281,82144,1492808519534630950,/fluid_pressure,105790.0,0.0
1492808519607258357,82145,1492808519608630950,/fluid_pressure,105750.0,0.0
1492808519681812074,82146,1492808519682630950,/fluid_pressure,105780.007812,0.0
1492808519755712747,82147,1492808519757630950,/fluid_pressure,105730.007812,0.0
1492808519830715606,82148,1492808519831630950,/fluid_pressure,105700.0,0.0
1492808519904061532,82149,1492808519905630950,/fluid_pressure,105710.0,0.0
1492808519978841207,82150,1492808519980630950,/fluid_pressure,105680.007812,0.0
1492808520052367871,82151,1492808520054630950,/fluid_pressure,105710.0,0.0
1492808520127488112,82152,1492808520128630950,/fluid_pressure,105669.992188,0.0
1492808520201821189,82153,1492808520202630950,/fluid_pressure,105700.0,0.0
1492808520275747366,82154,1492808520277630950,/fluid_pressure,105719.992188,0.0
1492808520349839508,82155,1492808520351630950,/fluid_pressure,105690.0,0.0
1492808520424546442,82156,1492808520425630950,/fluid_pressure,105710.0,0.0
1492808520498526212,82157,1492808520499630950,/fluid_pressure,105750.0,0.0
1492808520572494134,82158,1492808520574630950,/fluid_pressure,105710.0,0.0
1492808520647037186,82159,1492808520648630950,/fluid_pressure,105680.007812,0.0
1492808520720851015,82160,1492808520722630950,/fluid_pressure,105750.0,0.0
1492808520795284287,82161,1492808520796630950,/fluid_pressure,105769.992188,0.0
1492808520869188573,82162,1492808520871630950,/fluid_pressure,105790.0,0.0
1492808520944847745,82163,1492808520945630950,/fluid_pressure,105780.007812,0.0
1492808521018441966,82164,1492808521019630950,/fluid_pressure,105760.0,0.0
1492808521092795991,82165,1492808521094630950,/fluid_pressure,105710.0,0.0
